[columbus2 - main (2012-03-15 17:36:42,384)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester
[columbus2 - main (2012-03-15 17:36:42,429)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests
[columbus2 - Thread-4 (2012-03-15 17:36:42,556)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.pickFirstString_0(java.lang.String[],edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-4 (2012-03-15 17:36:42,556)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [Ljava.lang.String;@6303f70e
[columbus2 - Thread-4 (2012-03-15 17:36:42,557)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@1950eaeb
[columbus2 - Thread-4 (2012-03-15 17:36:42,557)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester.pickFirstString(java.lang.String[])
[columbus2 - main (2012-03-15 17:37:42,233)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester
[columbus2 - main (2012-03-15 17:37:42,277)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests
[columbus2 - Thread-4 (2012-03-15 17:37:42,422)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.pickFirstString_0(java.lang.String[],edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-4 (2012-03-15 17:37:42,423)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [Ljava.lang.String;@17b4dc48
[columbus2 - Thread-4 (2012-03-15 17:37:42,423)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@62ea0720
[columbus2 - Thread-4 (2012-03-15 17:37:42,423)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester.pickFirstString(java.lang.String[])
[columbus2 - main (2012-03-15 17:38:07,907)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester
[columbus2 - main (2012-03-15 17:38:07,951)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests
[columbus2 - Thread-2 (2012-03-15 17:38:08,043)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_0(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-2 (2012-03-15 17:38:08,043)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@7c6c1995
[columbus2 - Thread-3 (2012-03-15 17:38:08,043)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_1(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-2 (2012-03-15 17:38:08,043)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: 3
[columbus2 - Thread-3 (2012-03-15 17:38:08,044)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@7c6c1995
[columbus2 - Thread-2 (2012-03-15 17:38:08,044)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@1d03c504
[columbus2 - Thread-3 (2012-03-15 17:38:08,044)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: 3
[columbus2 - Thread-2 (2012-03-15 17:38:08,044)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private int edu.columbia.cs.psl.metamorphic.example.ProcessorTester.findClosestValue(int[],java.lang.Integer)
[columbus2 - Thread-3 (2012-03-15 17:38:08,044)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@1d03c504
[columbus2 - Thread-3 (2012-03-15 17:38:08,045)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private int edu.columbia.cs.psl.metamorphic.example.ProcessorTester.findClosestValue(int[],java.lang.Integer)
[columbus2 - Thread-4 (2012-03-15 17:38:08,080)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.pickFirstString_0(java.lang.String[],edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-4 (2012-03-15 17:38:08,080)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [Ljava.lang.String;@134ee504
[columbus2 - Thread-4 (2012-03-15 17:38:08,080)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@209d7383
[columbus2 - Thread-4 (2012-03-15 17:38:08,080)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester.pickFirstString(java.lang.String[])
[columbus2 - main (2012-03-15 17:41:32,063)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester
[columbus2 - main (2012-03-15 17:41:32,106)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests
[columbus2 - Thread-2 (2012-03-15 17:41:32,196)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_0(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-2 (2012-03-15 17:41:32,196)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@3a1e5f00
[columbus2 - Thread-2 (2012-03-15 17:41:32,196)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: 3
[columbus2 - Thread-3 (2012-03-15 17:41:32,196)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_1(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-2 (2012-03-15 17:41:32,196)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@1fef16cf
[columbus2 - Thread-3 (2012-03-15 17:41:32,197)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@3a1e5f00
[columbus2 - Thread-2 (2012-03-15 17:41:32,197)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private int edu.columbia.cs.psl.metamorphic.example.ProcessorTester.findClosestValue(int[],java.lang.Integer)
[columbus2 - Thread-3 (2012-03-15 17:41:32,197)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: 3
[columbus2 - Thread-3 (2012-03-15 17:41:32,197)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@1fef16cf
[columbus2 - Thread-3 (2012-03-15 17:41:32,198)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private int edu.columbia.cs.psl.metamorphic.example.ProcessorTester.findClosestValue(int[],java.lang.Integer)
[columbus2 - Thread-4 (2012-03-15 17:41:32,233)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.pickFirstString_0(java.lang.String[],edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-4 (2012-03-15 17:41:32,233)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [Ljava.lang.String;@5eb29465
[columbus2 - Thread-4 (2012-03-15 17:41:32,234)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@1e2ca375
[columbus2 - Thread-4 (2012-03-15 17:41:32,234)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester.pickFirstString(java.lang.String[])
[columbus2 - main (2012-03-15 17:42:35,275)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester
[columbus2 - main (2012-03-15 17:42:35,317)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests
[columbus2 - Thread-3 (2012-03-15 17:42:35,407)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_1(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-3 (2012-03-15 17:42:35,407)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@5f787630
[columbus2 - Thread-3 (2012-03-15 17:42:35,407)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: 3
[columbus2 - Thread-2 (2012-03-15 17:42:35,407)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_0(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-2 (2012-03-15 17:42:35,408)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@5f787630
